id,value,name,date
240,11.3443,MBK_MIBID_RUB_IR_d360,2016-03-17
241,11.4184,MBK_MIBOR_RUB_IR_d1,2016-03-17
242,11.7333,MBK_MIBOR_RUB_IR_d7,2016-03-17
243,11.8688,MBK_MIBOR_RUB_IR_d30,2016-03-17
244,12.35,MBK_MIBOR_RUB_IR_d90,2016-03-17
245,12.6438,MBK_MIBOR_RUB_IR_d180,2016-03-17
246,12.7686,MBK_MIBOR_RUB_IR_d360,2016-03-17
247,10.9357,MBK_MIACR_RUB_IR_d1,2016-03-17
248,11.0536,MBK_MIACR_RUB_IR_d7,2016-03-17
249,11.4281,MBK_MIACR_RUB_IR_d30,2016-03-17
250,12.6283,MBK_MIACR_RUB_IR_d90,2016-03-17
251,,MBK_MIACR_RUB_IR_d180,2016-03-17
252,,MBK_MIACR_RUB_IR_d360,2016-03-17
253,10.7968,MBK_MIACR_IG_RUB_IR_d1,2016-03-17
254,11.0451,MBK_MIACR_IG_RUB_IR_d7,2016-03-17
255,,MBK_MIACR_IG_RUB_IR_d30,2016-03-17
256,,MBK_MIACR_IG_RUB_IR_d90,2016-03-17
257,,MBK_MIACR_IG_RUB_IR_d180,2016-03-17
258,,MBK_MIACR_IG_RUB_IR_d360,2016-03-17
259,327747.362,MBK_MIACR_RUB_VOL_d1,2016-03-17
260,237396.8,MBK_MIACR_RUB_VOL_d7,2016-03-17
261,5108.4,MBK_MIACR_RUB_VOL_d30,2016-03-17
262,2860.0,MBK_MIACR_RUB_VOL_d90,2016-03-17
263,,MBK_MIACR_RUB_VOL_d180,2016-03-17
264,,MBK_MIACR_RUB_VOL_d360,2016-03-17
265,194454.4,MBK_MIACR_IG_RUB_VOL_d1,2016-03-17
266,230000.0,MBK_MIACR_IG_RUB_VOL_d7,2016-03-17
267,,MBK_MIACR_IG_RUB_VOL_d30,2016-03-17
268,,MBK_MIACR_IG_RUB_VOL_d90,2016-03-17
269,,MBK_MIACR_IG_RUB_VOL_d180,2016-03-17
270,,MBK_MIACR_IG_RUB_VOL_d360,2016-03-17
271,11.0,MBK_MIACR_B_RUB_d1,2016-03-17
272,,MBK_MIACR_B_RUB_d7,2016-03-17
273,,MBK_MIACR_B_RUB_d30,2016-03-17
274,,MBK_MIACR_B_RUB_d90,2016-03-17
275,,MBK_MIACR_B_RUB_d180,2016-03-17
276,,MBK_MIACR_B_RUB_d360,2016-03-17
277,13068.0,MBK_MIACR_B_RUB_VOL_d1,2016-03-17
278,,MBK_MIACR_B_RUB_VOL_d7,2016-03-17
279,,MBK_MIACR_B_RUB_VOL_d30,2016-03-17
280,,MBK_MIACR_B_RUB_VOL_d90,2016-03-17
281,,MBK_MIACR_B_RUB_VOL_d180,2016-03-17
282,,MBK_MIACR_B_RUB_VOL_d360,2016-03-17
283,0.2811,MBK_MIBID_USD_IR_d1,2016-03-17
284,0.3889,MBK_MIBID_USD_IR_d7,2016-03-17
285,0.472,MBK_MIBID_USD_IR_d30,2016-03-17
286,0.6965,MBK_MIBID_USD_IR_d90,2016-03-17
287,1.0611,MBK_MIBID_USD_IR_d180,2016-03-17
288,1.2109,MBK_MIBID_USD_IR_d360,2016-03-17
289,0.7057,MBK_MIBOR_USD_IR_d1,2016-03-17
290,0.851,MBK_MIBOR_USD_IR_d7,2016-03-17
291,0.8875,MBK_MIBOR_USD_IR_d30,2016-03-17
292,1.279,MBK_MIBOR_USD_IR_d90,2016-03-17
293,1.9153,MBK_MIBOR_USD_IR_d180,2016-03-17
294,2.3269,MBK_MIBOR_USD_IR_d360,2016-03-17
295,0.3865,MBK_MIACR_USD_IR_d1,2016-03-17
296,,MBK_MIACR_USD_IR_d7,2016-03-17
297,,MBK_MIACR_USD_IR_d30,2016-03-17
298,,MBK_MIACR_USD_IR_d90,2016-03-17
299,,MBK_MIACR_USD_IR_d180,2016-03-17
300,,MBK_MIACR_USD_IR_d360,2016-03-17
301,8125.5978,MBK_MIACR_USD_VOL_d1,2016-03-17
302,,MBK_MIACR_USD_VOL_d7,2016-03-17
303,,MBK_MIACR_USD_VOL_d30,2016-03-17
304,,MBK_MIACR_USD_VOL_d90,2016-03-17
305,,MBK_MIACR_USD_VOL_d180,2016-03-17
306,,MBK_MIACR_USD_VOL_d360,2016-03-17
307,10.5318,MBK_MIBID_RUB_IR_d1,2016-03-18
308,10.6682,MBK_MIBID_RUB_IR_d7,2016-03-18
309,10.445,MBK_MIBID_RUB_IR_d30,2016-03-18
310,10.8941,MBK_MIBID_RUB_IR_d90,2016-03-18
311,11.4333,MBK_MIBID_RUB_IR_d180,2016-03-18
312,,MBK_MIBID_RUB_IR_d360,2016-03-18
313,11.3577,MBK_MIBOR_RUB_IR_d1,2016-03-18
314,11.4958,MBK_MIBOR_RUB_IR_d7,2016-03-18
315,11.9917,MBK_MIBOR_RUB_IR_d30,2016-03-18
316,12.5676,MBK_MIBOR_RUB_IR_d90,2016-03-18
317,13.05,MBK_MIBOR_RUB_IR_d180,2016-03-18
318,,MBK_MIBOR_RUB_IR_d360,2016-03-18
319,0.3107,MBK_MIBID_USD_IR_d1,2016-03-18
320,0.3872,MBK_MIBID_USD_IR_d7,2016-03-18
321,0.5175,MBK_MIBID_USD_IR_d30,2016-03-18
322,0.7658,MBK_MIBID_USD_IR_d90,2016-03-18
323,1.2346,MBK_MIBID_USD_IR_d180,2016-03-18
324,,MBK_MIBID_USD_IR_d360,2016-03-18
325,0.7343,MBK_MIBOR_USD_IR_d1,2016-03-18
326,0.8363,MBK_MIBOR_USD_IR_d7,2016-03-18
327,0.9433,MBK_MIBOR_USD_IR_d30,2016-03-18
328,1.5329,MBK_MIBOR_USD_IR_d90,2016-03-18
329,2.4375,MBK_MIBOR_USD_IR_d180,2016-03-18
330,,MBK_MIBOR_USD_IR_d360,2016-03-18
